"EIN","Organization Name","Address","City","State","Zip","Total Revenue - Current Year","Total Functional Expenses","Total Liabilities: End of Year","Total Assets: End of Year","Number of Employees Reported on Form W-3","Net Assets","National Taxonomy of Exempt Entities Short Description","Type of 990 Form Filed","Fiscal Year End","National Taxonomy of Exempt Entities Full Description","Point Source","Selected Location"
"22-2382751","Haddon Heights Good Neighbors","625 Station Ave","HADDON HEIGHTS","NJ","8035","","","","","","","Community Improvement, Capacity Building","f990n","2022","Community Improvement, Capacity Building N.E.C.","Candid","Camden (County, 2022)"
"22-2393660","New Jersey Cooperative Education Coordinators Association","314 Westminster Ave","CHERRY HILL","NJ","8002","","","","","","","Housing, Shelter","f990n","2022","Housing Owners, Renters Organizations","Candid","Camden (County, 2022)"
"22-2423625","Cooper Grant Neighborhood Association","PO Box 53","CAMDEN","NJ","8101","","","","","","","Community Improvement, Capacity Building","f990n","2022","Neighborhood/Block Associations","Candid","Camden (County, 2022)"
"22-2435663","New Ventures Management Inc","315 Cooper St","CAMDEN","NJ","8102","","","","","","","Community Improvement, Capacity Building","f990n","2022","Management & Technical Assistance","Candid","Camden (County, 2022)"
"22-2445866","Glen Landing Home and School Association","85 Little Gloucester Rd","BLACKWOOD","NJ","8012","","","","","","","Education","f990n","2021","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-2452882","Atco Volunteer Fire CO No 1","2121 Auburn Ave","ATCO","NJ","8004","","","","","","","Public Safety","f990n","2022","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-2460482","Glendora Girls Athletic League Inc","PO Box 1","GLENDORA","NJ","8029","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Sports Training Facilities","Candid","Camden (County, 2022)"
"22-2474300","MT Olive Baptist Church","602 E Evesham Ave","MAGNOLIA","NJ","8049","","","","","","","Religion Related, Spiritual Development","f990n","2020","Protestant","Candid","Camden (County, 2022)"
"22-2475672","Haddon Township Zone PTA Scholarship Fund Inc","500 Rhoades Avenue","WESTMONT","NJ","8108","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-2481806","Alumni Association of the College of South Jersey and the South","1130 Thackary Ct","VOORHEES","NJ","8043","","","","","","","Education","f990n","2021","Alumni Associations","Candid","Camden (County, 2022)"
"22-2518608","The Camden County Firemens Association of New Jersey","PO Box 86","BELLMAWR","NJ","8099","","","","","","","Public Safety","f990n","2019","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-2566359","Cherry Hill High School East Music Boosters Inc","1750 Kresson Rd  Cherry Hill Nj 08003-1445","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2021","Fund Raising and/or Fund Distribution","Candid","Camden (County, 2022)"
"22-2579527","South Jersey Tennis Coaches Association Inc","700 Clinton Ave","HADDONFIELD","NJ","8033","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Tennis and Racquet Sports Clubs/Leagues","Candid","Camden (County, 2022)"
"22-2581179","PTA New Jersey Congress of Parents & Teachers","150 Walt Whitman Blvd","CHERRY HILL","NJ","8003","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-2602810","Penn State Alumni Association","1051 W High St","HADDON HEIGHTS","NJ","8035","","","","","","","Education","f990n","2022","Alumni Associations","Candid","Camden (County, 2022)"
"22-2629636","South Jersey Hebrew Sunday School Inc","PO Box 1412","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2022","Primary/Elementary Schools","Candid","Camden (County, 2022)"
"22-2675226","Visiting Nurse Custom Care Inc","PO Box 250","RUNNEMEDE","NJ","8078","","","","","","","Health","f990n","2022","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"22-2690367","Eastern Education Association Phil- Anthropic Fund","PO Box 2500","VOORHEES","NJ","8043","","","","","","","Education","f990n","2022","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"22-2841134","Haddonfield Tennis Association Inc A New Jersey Non Profit Corporatio","760 W Redman Ave","HADDONFIELD","NJ","8033","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Tennis and Racquet Sports Clubs/Leagues","Candid","Camden (County, 2022)"
"22-2849829","Handicapped Advocates for Independent Living Inc","153 Cuthbert Blvd","HADDON TOWNSHIP","NJ","8107","","","","","","","Human Services - Multipurpose and Other","f990n","2022","Services to Promote the Independence of Specific Populations","Candid","Camden (County, 2022)"
"22-2900863","Little League Baseball Inc","PO Box 33","BARRINGTON","NJ","8007","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2022","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"22-2914122","Rutgers Law School Alumni Association Camden","217 N 5th St","CAMDEN","NJ","8102","","","","","","","Education","f990n","2022","Alumni Associations","Candid","Camden (County, 2022)"
"22-2933494","National Society United States Daughters of 1812","44 Festival Dr","VOORHEES","NJ","8043","","","","","","","Arts, Culture, and Humanities","f990n","2023","Historical Societies and Related Activities","Candid","Camden (County, 2022)"
"22-2935406","National Organization of Mothers of Twins Clubs Inc","PO Box 3324","CHERRY HILL","NJ","8034","","","","","","","Public, Society Benefit - Multipurpose and Other","f990n","2022","Government and Public Administration","Candid","Camden (County, 2022)"
"22-3028107","Matt Talbot Retreat Movement Inc","PO BOX 572","AUDUBON","NJ","8106","","","","","","","Religion Related, Spiritual Development","f990n","2022","Religion Related, Spiritual Development N.E.C.","Candid","Camden (County, 2022)"
"22-3050825","Cedar Brook Volunteer Fire Company No 1","PO Box 33","CEDAR BROOK","NJ","8018","","","","","","","Public Safety","f990n","2022","Fire Prevention / Protection / Control","Candid","Camden (County, 2022)"
"22-3064829","PTA New Jersey Congress of Parents & Teachers","315 Roosevelt Dr","CHERRY HILL","NJ","8002","","","","","","","Education","f990n","2022","Secondary/High School","Candid","Camden (County, 2022)"
"22-3069644","PTA New Jersey Congress of Parents & Teachers","2101 CHAPEL AVE W","CHERRY HILL","NJ","8002","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-3089771","West Atco Youth in Action Inc","PO Box 116","ATCO","NJ","8004","","","","","","","Youth Development","f990n","2021","Youth Centers, Clubs, (includes Boys/Girls Clubs)- Multipurpose","Candid","Camden (County, 2022)"
"22-3132544","PTA New Jersey Congress of Parents & Teachers","414 W Collings Ave","COLLINGSWOOD","NJ","8108","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-3159589","National Stop the Violence Alliance Inc","PO Box 3341","CAMDEN","NJ","8101","","","","","","","Civil Rights, Social Action, Advocacy","f990n","2022","Intergroup/Race Relations","Candid","Camden (County, 2022)"
"22-3177718","Camden To Camden Inc","5105 N PARK DR APT S115","PENNSAUKEN","NJ","8109","","","","","","","Youth Development","f990n","2022","Scouting","Candid","Camden (County, 2022)"
"22-3180079","PTA New Jersey Congress of Parents & Teachers","3901 Sharon Ter","PENNSAUKEN","NJ","8110","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-3180797","Collingswood Cares Inc","400 Virginia Ave","OAKLYN","NJ","8107","","","","","","","Mental Health, Crisis Intervention","f990n","2021","Community Mental Health Center","Candid","Camden (County, 2022)"
"22-3182028","PTA New Jersey Congress of Parents & Teachers","800 Hylton Rd","PENNSAUKEN","NJ","8110","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-3188833","Rising Sun Scholarship Fund Inc","16 Kings Hwy E","HADDONFIELD","NJ","8033","","","","","","","Education","f990n","2022","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"22-3226104","Special Populations Achieving Normalcy Through Education & Rec","601 White Horse Rd","VOORHEES","NJ","8043","","","","","","","Human Services - Multipurpose and Other","f990n","2021","Developmentally Disabled Services/Centers","Candid","Camden (County, 2022)"
"22-3228636","The Love Ministry Inc","153 Quiet Rd","SICKLERVILLE","NJ","8081","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Fund Raising Organizations That Cross Categories includes Community Funds/Trusts and Federated Giving Programs) e.g. United Way","Candid","Camden (County, 2022)"
"22-3262894","Prajapati Association Inc","109 Kilburn Dr","CHERRY HILL","NJ","8003","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Public Foundations","Candid","Camden (County, 2022)"
"22-3299635","Cretans of Delaware Valley Knossos Inc","169 William Feather Dr","VOORHEES","NJ","8043","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2022","Philanthropy / Charity / Voluntarism Promotion (General)","Candid","Camden (County, 2022)"
"22-3310980","Tri-County Symphonic Band Inc","PO Box 184","SICKLERVILLE","NJ","8081","","","","","","","Arts, Culture, and Humanities","f990n","2022","Music Groups, Bands, Ensembles","Candid","Camden (County, 2022)"
"22-3315147","Gloucester City Historical Society","34 N King St","GLOUCESTER CITY","NJ","8030","","","","","","","Arts, Culture, and Humanities","f990n","2022","Historical Societies & Historic Preservation","Candid","Camden (County, 2022)"
"22-3324587","PTA New Jersey Congress of Parents & Teachers","336 Haddon Ave","HADDON TOWNSHIP","NJ","8108","","","","","","","Education","f990n","2022","Parent Teacher Group","Candid","Camden (County, 2022)"
"22-3328020","Historical Society of Winslow Township Inc","124 Pump Branch Rd","WATERFORD WORKS","NJ","8089","","","","","","","Arts, Culture, and Humanities","f990n","2021","Historical Societies & Historic Preservation","Candid","Camden (County, 2022)"
"22-3389998","Lawnside Scholarship Club Inc","PO Box 66","LAWNSIDE","NJ","8045","","","","","","","Education","f990n","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"22-3397666","Garden State Chorale Inc","PO Box 2837","CHERRY HILL","NJ","8034","","","","","","","Arts, Culture, and Humanities","f990n","2022","Singing Choral","Candid","Camden (County, 2022)"
"22-3398279","Friends of the Pennsauken Free Public Library","5605 N Crescent Blvd","PENNSAUKEN","NJ","8110","","","","","","","Education","f990n","2022","Single Organization Support","Candid","Camden (County, 2022)"
"22-3401295","482 Social Hall Inc Alcoholic Anonymous","6702 N Crescent Blvd","PENNSAUKEN","NJ","8110","","","","","","","Mental Health, Crisis Intervention","f990n","2021","Alcohol, Drug Abuse (Prevention Only)","Candid","Camden (County, 2022)"
"22-3405819","American Inns of Court Foundation","1 Centennial Sq","HADDONFIELD","NJ","8033","","","","","","","Crime, Legal Related","f990n","2022","Management & Technical Assistance","Candid","Camden (County, 2022)"
"22-3414404","Nami Camden County Inc","1409 Kings Hwy N","CHERRY HILL","NJ","8034","","","","","","","Mental Health, Crisis Intervention","f990n","2022","Mental Health Association, Multipurpose","Candid","Camden (County, 2022)"
"22-3417552","Recreational Fishing Alliance Foundation","4 Executive Campus Ste 100","CHERRY HILL","NJ","8002","","","","","","","Animal-Related","f990n","2020","Fisheries","Candid","Camden (County, 2022)"
"22-3444028","Joy Broadcasting Inc","153 Cuthbert Blvd","HADDON TOWNSHIP","NJ","8107","","","","","","","Religion Related, Spiritual Development","f990n","2021","Christian","Candid","Camden (County, 2022)"
"22-3465890","Custom Home Care & Rehab Inc","PO Box 250","RUNNEMEDE","NJ","8078","","","","","","","Health","f990n","2022","Home Health Care (includes Visiting Nurse Associations)","Candid","Camden (County, 2022)"
"22-3467022","Friends of Waterford Township Library A NJ Non Profit","2115 Carriage Ln","ATCO","NJ","8004","","","","","","","Education","f990n","2022","Single Organization Support","Candid","Camden (County, 2022)"
"22-3472820","Sisters That Are Rendering Service Inc","PO Box 3853","CHERRY HILL","NJ","8034","","","","","","","Education","f990n","2022","Student Sororities, Fraternities","Candid","Camden (County, 2022)"
"22-3480094","Fathers and Childrens Equality Inc","PO Box 3302","CHERRY HILL","NJ","8034","","","","","","","Civil Rights, Social Action, Advocacy","f990n","2022","Civil Rights, Advocacy for Specific Groups","Candid","Camden (County, 2022)"
"22-3494213","South Jersey Bead Society A New Jersey Nonprofit Corporation","PO Box 1242","BELLMAWR","NJ","8099","","","","","","","Arts, Culture, and Humanities","f990n","2021","Arts Education/Schools","Candid","Camden (County, 2022)"
"22-3500303","Hearts and Paws Inc","701 E Evesham Rd","VOORHEES","NJ","8043","","","","","","","Animal-Related","f990n","2021","Animal Protection and Welfare (includes Humane Societies and SPCAs)","Candid","Camden (County, 2022)"
"22-3512157","Oaklyn Cougar Athletic Association","220 W Cedar Ave","OAKLYN","NJ","8107","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2021","Sports Training Facilities","Candid","Camden (County, 2022)"
"22-3528399","New Jersey Minority Educational Development NJ-Med","2834 Pierce Ave","CAMDEN","NJ","8105","","","","","","","Education","f990n","2022","Educational Services and Schools - Other","Candid","Camden (County, 2022)"
"22-3532087","Kwj Community Outreach","630 Erial Rd","BLACKWOOD","NJ","8012","","","","","","","Community Improvement, Capacity Building","f990n","2021","Neighborhood/Block Associations","Candid","Camden (County, 2022)"
"22-3535468","Love Apple Quilters Inc","PO Box 3734","CHERRY HILL","NJ","8034","","","","","","","Arts, Culture, and Humanities","f990n","2022","Visual Arts Organizations","Candid","Camden (County, 2022)"
"22-3539967","Little League Baseball Inc","105 5th Ave","MOUNT EPHRAIM","NJ","8059","","","","","","","Recreation, Sports, Leisure, Athletics","f990n","2020","Baseball, Softball (includes Little Leagues)","Candid","Camden (County, 2022)"
"22-3547563","Joshua Kahan Fund Inc","46 Downing Ln","VOORHEES","NJ","8043","","","","","","","Philanthropy, Voluntarism, and Grantmaking Foundations","f990n","2021","Private Independent Foundations","Candid","Camden (County, 2022)"
"22-3548957","Vietnamese-American Cultural and Educational Center Inc","445 White Horse Pike","WEST COLLINGSWOOD","NJ","8107","","","","","","","Arts, Culture, and Humanities","f990n","2021","Cultural, Ethnic Awareness","Candid","Camden (County, 2022)"
"22-3558315","John S Walton Memorial Scholarship Fund","1115 Collings Ave","HADDON TOWNSHIP","NJ","8107","","","","","","","Education","f990n","2021","Scholarships, Student Financial Aid, Awards","Candid","Camden (County, 2022)"
"22-3565568","Westmont Lions Club Foundation Inc","58 Addison Ave","COLLINGSWOOD","NJ","8108","","","","","","","Community Improvement, Capacity Building","f990n","2021","Community Service Clubs (Kiwanis, Lions, Jaycees, etc.)","Candid","Camden (County, 2022)"
